Tipo,SKU,¿Existencias?,Inventario,Precio normal,Porcentajede descuento,precio con descuento,Categorías,Etiquetas,Valor(es) del atributo 1,Valor(es) del atributo 2,Valor(es) del atributo 3,Valor(es) del atributo 4,Valor(es) del atributo 5,Valor(es) del atributo 6,Valor(es) del atributo 7,Valor(es) del atributo 8,Valor(es) del atributo 9,Valor(es) del atributo 10,Valor(es) del atributo 11,Valor(es) del atributo 12,Valor(es) del atributo 13,IMAGEN 1,IMAGEN 2,IMAGEN 3
De Marca,AX 3108,1,1,"$2,800.00",15%,"$2,380.00",DE MARCA,Lente oftálmico,AX 3108,ARMANI EXCHANGE,Lente oftálmico,Transparente con negro,Cuadrado,Acetato,Acetato,Sin clip,Transparente,Mediano,Puente anatomico,"Lente, paño, estuche y líquido antirreflejante",30 días de garantía contra defectos de fábrica.,https://opticaskairoz.com.mx/wp-content/uploads/2025/08/AX3108U-ARMANI-3-MAIN.webp,https://opticaskairoz.com.mx/wp-content/uploads/2025/08/AX3108U-ARMANI-2-PT01.webp,https://opticaskairoz.com.mx/wp-content/uploads/2025/08/AX3108U-ARMANI-1-PT02.webp
De Marca,AX 3115,2,2,"$2,800.00",15%,"$2,380.00",DE MARCA,Lente oftálmico,AX 3115,ARMANI EXCHANGE,Lente oftálmico,Negro,Cuadrado,Acetato,Acetato,Sin clip,Transparente,Mediano,Puente anatomico,"Lente, paño, estuche y líquido antirreflejante",30 días de garantía contra defectos de fábrica.,https://opticaskairoz.com.mx/wp-content/uploads/2025/08/AX3115-ARMANI-3-MAIN.webp,https://opticaskairoz.com.mx/wp-content/uploads/2025/08/AX3115-ARMANI-1-PT01.webp,https://opticaskairoz.com.mx/wp-content/uploads/2025/08/AX3115-ARMANI-2-PT02.webp
De Marca,AX 3127,1,1,"$2,800.00",15%,"$2,380.00",DE MARCA,Lente oftálmico,AX 3127,ARMANI EXCHANGE,Lente oftálmico,Negro,Redondo,Acetato,Acetato,Sin clip,Transparente,Mediano,Puente anatomico,"Lente, paño, estuche y líquido antirreflejante",30 días de garantía contra defectos de fábrica.,https://opticaskairoz.com.mx/wp-content/uploads/2025/08/AX3127-ARMANI-3-MAIN.webp,https://opticaskairoz.com.mx/wp-content/uploads/2025/08/AX3127-ARMANI-2-PT01.webp,https://opticaskairoz.com.mx/wp-content/uploads/2025/08/AX3127-ARMANI-1-PT02.webp
De Marca,VLF.I135K,,,,,,,,,,,,,,,,,,,,,,,
De Marca,AOR010O,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Paginas ya creadas,,,,,,,,,,,,,,,,,,,,,,,
,Pagina en duda por diferencia en el nombre entre imagenes y excel,,,,,,,,,,,,,,,,,,,,,,,
